title,author,link,date,number_of_views
Гейб Ньюэлл: Valve долгое время не занималась одиночными играми из-за увлечения киберспортом,Руслан Присекин,https://stopgame.ru/newsdata/42468/geyb_nyuell_valve_dolgoe_vremya_ne_zanimalas_odinochnymi_igrami_iz_za_uvlecheniya_kibersportom,"
31 марта 2020 ", 734
«Формула-1» проведёт официальные состязания в игре F1 2019 на замену отменённым гонкам,Геннадий Воробьев,https://stopgame.ru/newsdata/42365/formula_1_proved_t_oficialnye_sostyazaniya_v_igre_f1_2019_na_zamenu_otmen_nnym_gonkam,"
21 марта 2020 ", 670
Blizzard оштрафовала двух киберспортсменов по Overwatch за «большой член» в чате,Руслан Присекин,https://stopgame.ru/newsdata/42562/blizzard_oshtrafovala_dvuh_kibersportsmenov_po_overwatch_za_bolshoy_chlen_v_chate,"
7 апреля 2020 ", 831
На всех турнирах по VALORANT обязаны отключать кровь,Геннадий Воробьев,https://stopgame.ru/newsdata/42682/na_vseh_turnirah_po_valorant_obyazany_otklyuchat_krov,"
16 апреля 2020 ", 1426
Konami отложила DLC по мотивам Евро-2020 для PES и отменила новое физическое издание игры,Андрей Маковеев,https://stopgame.ru/newsdata/42704/konami_otlozhila_dlc_po_motivam_evro_2020_dlya_pes_i_otmenila_novoe_fizicheskoe_izdanie_igry,"
17 апреля 2020 ", 1021
Пять игроков из Австралии получат сроки за договорные матчи в CS:GO,Геннадий Воробьев,https://stopgame.ru/newsdata/42895/pyat_igrokov_iz_avstralii_poluchat_sroki_za_dogovornye_matchi_v_cs_go,"
4 мая 2020 ", 3436
"Файтинг-турнир EVO перенесли в онлайн. Там не будет Super Smash Bros. Ultimate — возможно, из-за её плохого неткода",Геннадий Воробьев,https://stopgame.ru/newsdata/43060/fayting_turnir_evo_perenesli_v_onlayn_tam_ne_budet_super_smash_bros_ultimate_vozmozhno_iz_za_e_plohogo_netkoda,"
14 мая 2020 ", 1129
"Maddyson, Bratishkinoff, ceh9 и другие лидеры мнений примут участие в турнире по королевским битвам Adrenaline Cyber League",Руслан Присекин,https://stopgame.ru/newsdata/43207/maddyson_bratishkinoff_ceh9_i_drugie_lidery_mneniy_primut_uchastie_v_turnire_po_korolevskim_bitvam_adrenaline_cyber_league,"
23 мая 2020 ", 9291
"Завершился первый этап Adrenaline Cyber League. Лидер — Дмитрий Осинцев, он же recrent",Андрей Маковеев,https://stopgame.ru/newsdata/43464/zavershilsya_pervyy_etap_adrenaline_cyber_league_lider_dmitriy_osincev_on_zhe_recrent,"
11 июня 2020 ", 2669
Бывших победителей The International отстранили от турниров по Dota 2 за договорные матчи,Геннадий Воробьев,https://stopgame.ru/newsdata/43090/byvshih_pobediteley_the_international_otstranili_ot_turnirov_po_dota_2_za_dogovornye_matchi,"
16 мая 2020 ", 1794
Киберспорт продолжает бежать из Китая из-за вспышки коронавируса,Геннадий Воробьев,https://stopgame.ru/newsdata/41677/kibersport_prodolzhaet_bezhat_iz_kitaya_iz_za_vspyshki_koronavirusa,"
30 января 2020 ", 803
"Открылась регистрация участников Adrenaline Cyber League — турнира, в котором участвуют известные стримеры и блогеры",Андрей Маковеев,https://stopgame.ru/newsdata/43389/otkrylas_registraciya_uchastnikov_adrenaline_cyber_league_turnira_v_kotorom_uchastvuyut_izvestnye_strimery_i_blogery,"
5 июня 2020 ", 2660
После гонконгского бана Blizzard потеряла контракт с Mitsubishi Motors — спонсором турнира по Hearthstone,Геннадий Воробьев,https://stopgame.ru/newsdata/40584/posle_gonkongskogo_bana_blizzard_poteryala_kontrakt_s_mitsubishi_motors_sponsorom_turnira_po_hearthstone,"
30 октября 2019 ", 286
Говорить можно только про игры — президент Blizzard объяснил бан Blitzchung,Руслан Присекин,https://stopgame.ru/newsdata/40646/govorit_mozhno_tolko_pro_igry_prezident_blizzard_obyasnil_ban_blitzchung,"
3 ноября 2019 ", 180
"R6 Siege: новый Tachanka, кроссовер с Ларой Крофт, ещё два года развития и другие анонсы Six Invitational",Геннадий Воробьев,https://stopgame.ru/newsdata/41900/r6_siege_novyy_tachanka_krossover_s_laroy_kroft_esch_dva_goda_razvitiya_i_drugie_anonsy_six_invitational,"
17 февраля 2020 ", 1745
Четыре принципа киберспорта — западные ассоциации объединились для поддержки виртуальных соревнований,Руслан Присекин,https://stopgame.ru/newsdata/40674/chetyre_principa_kibersporta_zapadnye_associacii_obedinilis_dlya_podderzhki_virtualnyh_sorevnovaniy,"
5 ноября 2019 ", 154
Первая женщина-победитель и завершение корейского господства в Overwatch — киберспорт на BlizzCon 2019,Геннадий Воробьев,https://stopgame.ru/newsdata/40648/pervaya_zhenschina_pobeditel_i_zavershenie_koreyskogo_gospodstva_v_overwatch_kibersport_na_blizzcon_2019,"
4 ноября 2019 ", 238
"Руководитель Overwatch считает, что наказание для Blitzchung нужно отменить",Геннадий Воробьев,https://stopgame.ru/newsdata/40728/rukovoditel_overwatch_schitaet_chto_nakazanie_dlya_blitzchung_nuzhno_otmenit,"
9 ноября 2019 ", 138
Ещё один музыкальный клип по League of Legends рвёт чарты YouTube,Геннадий Воробьев,https://stopgame.ru/newsdata/40738/esch_odin_muzykalnyy_klip_po_league_of_legends_rv_t_charty_youtube,"
11 ноября 2019 ", 1142
NVIDIA анонсировала первый в мире монитор на 360 герц для киберспортсменов,Геннадий Воробьев,https://stopgame.ru/newsdata/41358/nvidia_anonsirovala_pervyy_v_mire_monitor_na_360_gerc_dlya_kibersportsmenov,"
6 января 2020 ", 3839
Президент Blizzard извинился за гонконгский бан,Руслан Присекин,https://stopgame.ru/newsdata/40637/prezident_blizzard_izvinilsya_za_gonkongskiy_ban,"
2 ноября 2019 ", 184
Матч по League of Legends поставил рекорд по одновременному числу зрителей,Руслан Присекин,https://stopgame.ru/newsdata/40661/match_po_league_of_legends_postavil_rekord_po_odnovremennomu_chislu_zriteley,"
5 ноября 2019 ", 232
"Ивент Road to S.I. в Rainbow Six Siege — трейлер, новая карта и боевой пропуск",Геннадий Воробьев,https://stopgame.ru/newsdata/41504/ivent_road_to_s_i_v_rainbow_six_siege_trailer_novaya_karta_i_boevoy_propusk,"
16 января 2020 ", 439
Blizzard отдаёт киберспорт по StarCraft II и WarCraft III: Reforged в руки ESL и DreamHack,Геннадий Воробьев,https://stopgame.ru/newsdata/41388/blizzard_otda_t_kibersport_po_starcraft_ii_i_warcraft_iii_reforged_v_ruki_esl_i_dreamhack,"
8 января 2020 ", 4571
"Overwatch League, Call of Duty League и турниры по Hearthstone переехали с Twitch на YouTube",Руслан Присекин,https://stopgame.ru/newsdata/41620/overwatch_league_call_of_duty_league_i_turniry_po_hearthstone_pereehali_s_twitch_na_youtube,"
25 января 2020 ", 322
