title,dev,date
Tom Clancy's Splinter Cell: Essentials,Ubisoft,
Heavy Rain: The Taxidermist,Sony Computer Entertainment,
Desperados III: Money for the Vultures - Part 3: Once More With Feeling,,"
3 ноября 2020 г. "
Desperados III: Money for the Vultures - Part 2: Five Steps Ahead,,"
6 октября 2020 г. "
Castlevania Chronicles,Konami,
Batman (1986),MSX,
V-Rally,Eden Studios,"
1 июля 1997 г. "
Batman: The Caped Crusader,Amiga,
Batman: The Animated Series,Konami,
Batman: The Video Game,,
Hexen: Deathkings of the Dark Citadel,Raven Software,"
3 сентября 1996 г. "
Batman: Return of the Joker,,
Batman (1990),Sun Corporation,
Batman Returns,Konami,
Batman Forever: The Arcade Game,Acclaim Entertainment,
Batman & Robin,Acclaim Entertainment,
Batman: Chaos in Gotham,Ubi Soft,
Test Drive,Electronic Arts,
Batman: The Brave and the Bold – The Videogame,WayForward Technologies,"
7 сентября 2010 г. "
Batman: Arkham Knight — A Flip of a Coin,Rocksteady Studios,"
24 ноября 2015 г. "
Batman Begins,EA Games,
Test Drive: Off-Road Wide Open,Infogrames,
Test Drive Off-Road 2 ,Accolade,
Test Drive: Eve of Destruction,Atari Interactive,
Batman: Rise of Sin Tzu,Ubi Soft,
Test Drive Cycles,Infogrames,
Test Drive 2001,Infogrames,
Castlevania II: Simon's Quest,,
Haunted Castle,,
Syphon Filter,,
Syphon Filter: Logan's Shadow,Sony Computer Entertainment,
N,Metanet Software,"
16 мая 2005 г. "
Mafia II: The Betrayal of Jimmy,2K Czech,"
24 августа 2010 г. "
Vampire Killer,,
N+,SilverBirch Studios,"
20 февраля 2008 г. "
Mafia II: Jimmy’s Vendetta,2K Czech,"
7 сентября 2010 г. "
Mafia II: Joe's Adventures,2K Czech,"
24 августа 2010 г. "
Mafia II Mobile,Twistbox Entertainment Inc.,
Flashback: The Quest for Identity,Microïds,
Mafia III: Stones Unturned,2K Czech,"
30 мая 2017 г. "
Mafia III: Sign of the Times,2K Czech,"
25 июля 2017 г. "
"Mafia III: Faster, Baby!",2K Czech,"
28 марта 2017 г. "
Spider-Man and Venom: Maximum Carnage,Acclaim Entertainment,
Boogerman: A Pick and Flick Adventure,Interplay Productions,
Trials of Mana (1995),Square,"
30 сентября 1995 г. "
Children of Mana,Square Enix,"
2 марта 2006 г. "
Dawn of Mana,Square Enix,"
21 декабря 2006 г. "
Rise of Mana,Android,
Adventures of Mana,Square Enix,
Spec Ops II: Green Berets,Ripcord Games,
Heroes of Mana,Square Enix,"
8 марта 2007 г. "
Spec Ops: Stealth Patrol,Take-Two Interactive,
Tales of the Abyss,rpg,
Dissidia Duodecim Prologus Final Fantasy,PSP,
Hitman: Vegas,Eidos Interactive,
Castle Wolfenstein,,
Tomb Raider VR: Lara's Escape,Warner Bros. Games,"
20 февраля 2018 г. "
Dissidia 012 Final Fantasy,Square Enix,"
3 марта 2011 г. "
Beyond Castle Wolfenstein,,
Wolfenstein 3D: Spear of Destiny,id Software,"
5 мая 1992 г. "
Commander Keen in Keen Dreams,id Software,"
1991 г. "
Wolfenstein RPG,id Software,"
30 сентября 2008 г. "
Fallout: Brotherhood of Steel,Interplay Entertainment,
Parasite Eve,Square,"
29 марта 1998 г. "
Fallout 4: Vault-Tec Workshop,Bethesda Softworks,
Clock Tower: The First Fear,Human Entertainment,
Hitman Sniper: The Shadows,Square Enix Montréal,"
3 марта 2021 г. "
Clock Tower II: The Struggle Within,Agetec,
Raiders of the Lost Ark,,
Indiana Jones and the Fate of Atlantis,,
Indiana Jones in the Lost Kingdom,C64,
Indiana Jones and the Last Crusade: The Graphic Adventure,,
Indiana Jones in Revenge of the Ancients,Apple II,
Evil Maze,,
Indiana Jones and the Last Crusade: The Action Game,,
The Young Indiana Jones Chronicles,Jaleco Entertainment,
Indiana Jones and the Last Crusade (Taito),Taito,
Indiana Jones and the Staff of Kings,Amaze Entertainment,"
9 июня 2009 г. "
Instruments of Chaos starring Young Indiana Jones,LucasArts,
Indiana Jones' Greatest Adventures,LucasArts,
Foxhole,,"
28 сентября 2022 г. "
Final Fantasy XV: Episode Ardyn,Square Enix,"
26 марта 2019 г. "
Monster of the Deep: Final Fantasy XV,Square Enix,"
21 ноября 2017 г. "
Final Fantasy XV: A New Empire,"Machine Zone, Inc.","
31 марта 2017 г. "
Platinum Demo — Final Fantasy XV,Square Enix,
Midnight Club: Street Racing,Rockstar Games,
Final Fantasy XII: Revenant Wings,Square Enix,
Before Crisis: Final Fantasy VII,Square Enix,"
24 сентября 2004 г. "
Final Fantasy Tactics,SquareSoft,"
20 июня 1997 г. "
Final Fantasy Tactics A2: Grimoire of the Rift,Square Enix,"
25 октября 2007 г. "
Crisis Core: Final Fantasy VII,Square Enix,"
13 сентября 2007 г. "
Final Fantasy Crystal Chronicles: Ring of Fates,Square Enix,"
23 августа 2007 г. "
